timestamp,rcs
1759998208.7281356,-3.1
1759998208.7782454,-1.9
1759998208.7782454,-3.9
1759998208.7782454,-3.9
1759998208.7782454,-3.4
1759998208.8283546,-1.9
1759998208.8283546,-3.9
1759998208.8283546,-3.9
1759998208.8283546,-3.2
1759998208.8783772,-1.9
1759998208.8783772,-3.8
1759998208.8783772,-3.8
1759998208.8783772,-3.6
1759998208.9282176,-1.9
1759998208.9282176,-3.8
1759998208.9282176,-3.8
1759998208.9282176,-3.4
1759998208.9783256,-1.9
1759998208.9783256,-3.9
1759998208.9783256,-3.9
1759998208.9783256,-3.6
1759998209.0281081,-1.9
1759998209.0281081,-3.8
1759998209.0281081,-3.8
1759998209.0281081,-3.2
1759998209.0781739,-1.9
1759998209.0781739,-3.8
1759998209.0781739,-3.8
1759998209.0781739,-3.5
1759998209.1284251,-1.9
1759998209.1284251,-3.9
1759998209.1284251,-3.9
1759998209.1284251,-3.3
1759998209.1284251,-0.3
1759998209.178342,-1.9
1759998209.178342,-3.8
1759998209.178342,-3.8
1759998209.178342,-3.3
1759998209.2278593,-1.9
1759998209.2278593,-4.0
1759998209.2278593,-4.0
1759998209.2278593,-3.3
1759998209.278113,-1.9
1759998209.278113,-3.9
1759998209.278113,-3.9
1759998209.278113,-3.4
1759998209.278113,-0.2
1759998209.3281693,-1.9
1759998209.3281693,-3.9
1759998209.3281693,-3.9
1759998209.3281693,-3.3
1759998209.3782403,-1.9
1759998209.3782403,-3.9
1759998209.3782403,-3.9
1759998209.3782403,-3.6
1759998209.428204,-1.9
1759998209.428204,-3.8
1759998209.428204,-3.8
1759998209.428204,-3.4
1759998209.4782982,-1.9
1759998209.4782982,-3.8
1759998209.4782982,-3.8
1759998209.4782982,-3.1
1759998209.5280168,-1.9
1759998209.5280168,-3.9
1759998209.5280168,-3.9
1759998209.5280168,-3.3
1759998209.5280168,-1.6
1759998209.578219,-1.8
1759998209.578219,-3.8
1759998209.578219,-3.8
1759998209.578219,-3.5
1759998209.6277192,-1.8
1759998209.6277192,-3.8
1759998209.6277192,-3.8
1759998209.6277192,-3.3
1759998209.6277192,-3.3
1759998209.6784413,-1.9
1759998209.6784413,-3.9
1759998209.6784413,-3.9
1759998209.6784413,-3.3
1759998209.7282388,-1.8
1759998209.7282388,-3.8
1759998209.7282388,-3.8
1759998209.7282388,-3.0
1759998209.7778697,-1.8
1759998209.7778697,-3.8
1759998209.7778697,-3.8
1759998209.7778697,-3.3
1759998209.8274448,-1.8
1759998209.8274448,-3.9
1759998209.8274448,-3.9
1759998209.8274448,-3.2
1759998209.8774838,-1.8
1759998209.8774838,-3.9
1759998209.8774838,-3.9
1759998209.8774838,-3.5
1759998209.9276042,-1.8
1759998209.9276042,-4.0
1759998209.9276042,-4.0
1759998209.9276042,-3.2
1759998209.9776213,-1.9
1759998209.9776213,-3.9
1759998209.9776213,-3.9
1759998209.9776213,-3.4
1759998210.0285385,-1.9
1759998210.0285385,-3.9
1759998210.0285385,-3.9
1759998210.0285385,-3.2
1759998210.0285385,-1.3
1759998210.0784488,-1.8
1759998210.0784488,-4.0
1759998210.0784488,-4.0
1759998210.0784488,-3.0
1759998210.1286922,-1.9
1759998210.1286922,-3.9
1759998210.1286922,-3.9
1759998210.1286922,-3.5
1759998210.1786318,-1.8
1759998210.1786318,-3.8
1759998210.1786318,-3.8
1759998210.1786318,-3.5
1759998210.228504,-1.9
1759998210.228504,-3.7
1759998210.228504,-3.7
1759998210.228504,-3.3
1759998210.279319,-1.9
1759998210.279319,-3.9
1759998210.279319,-3.9
1759998210.279319,-3.1
1759998210.3283439,-1.9
1759998210.3283439,-3.7
1759998210.3283439,-3.7
1759998210.3283439,-3.4
1759998210.3773267,-1.9
1759998210.3773267,-3.8
1759998210.3773267,-3.8
1759998210.3773267,-3.4
1759998210.4284823,-1.9
1759998210.4284823,-3.8
1759998210.4284823,-3.8
1759998210.4284823,-3.4
1759998210.4788282,-1.9
1759998210.4788282,-3.8
1759998210.4788282,-3.8
1759998210.4788282,-3.3
1759998210.5284967,-1.9
1759998210.5284967,-3.8
1759998210.5284967,-3.8
1759998210.5284967,-3.6
1759998210.5284967,-3.3
1759998210.5787897,-1.9
1759998210.5787897,-3.8
1759998210.5787897,-3.8
1759998210.5787897,-3.6
1759998210.6283417,-1.9
1759998210.6283417,-3.8
1759998210.6283417,-3.8
1759998210.6283417,-3.7
1759998210.6779742,-1.9
1759998210.6779742,-3.8
1759998210.6779742,-3.8
1759998210.6779742,-3.3
1759998210.72919,-1.9
1759998210.72919,-3.9
1759998210.72919,-3.9
1759998210.72919,-3.4
1759998210.7782383,-1.9
1759998210.7782383,-3.8
1759998210.7782383,-3.8
1759998210.7782383,-3.2
1759998210.828265,-1.9
1759998210.828265,-3.8
1759998210.828265,-3.8
1759998210.828265,-3.4
1759998210.8782094,-1.9
1759998210.8782094,-3.8
1759998210.8782094,-3.8
1759998210.8782094,-3.4
1759998210.9275541,-1.9
1759998210.9275541,-3.8
1759998210.9275541,-3.8
1759998210.9275541,-3.3
1759998210.9784968,-1.9
1759998210.9784968,-3.8
1759998210.9784968,-3.8
1759998210.9784968,-3.3
1759998211.0277038,-1.8
1759998211.0277038,-3.9
1759998211.0277038,-3.9
1759998211.0277038,-3.0
1759998211.0777006,-1.8
1759998211.0777006,-3.8
1759998211.0777006,-3.8
1759998211.0777006,-3.5
1759998211.128471,-1.8
1759998211.128471,-3.8
1759998211.128471,-3.8
1759998211.128471,-4.1
1759998211.1784697,-1.8
1759998211.1784697,-3.8
1759998211.1784697,-3.8
1759998211.1784697,-2.9
1759998211.2283533,-1.8
1759998211.2283533,-3.8
1759998211.2283533,-3.8
1759998211.2283533,-3.3
1759998211.278258,-1.9
1759998211.278258,-3.8
1759998211.278258,-3.8
1759998211.278258,-3.5
1759998211.327955,-1.8
1759998211.327955,-3.8
1759998211.327955,-3.8
1759998211.327955,-2.8
1759998211.3781059,-1.9
1759998211.3781059,-3.8
1759998211.3781059,-3.8
1759998211.3781059,-3.8
1759998211.4282393,-1.8
1759998211.4282393,-3.8
1759998211.4282393,-3.8
1759998211.4282393,-3.2
1759998211.4777236,-1.9
1759998211.4777236,-3.8
1759998211.4777236,-3.8
1759998211.4777236,-2.9
1759998211.5278254,-1.9
1759998211.5278254,-3.8
1759998211.5278254,-3.8
1759998211.5278254,-3.1
1759998211.5778315,-1.9
1759998211.5778315,-3.9
1759998211.5778315,-3.9
1759998211.5778315,-3.3
1759998211.6278203,-1.9
1759998211.6278203,-3.8
1759998211.6278203,-3.8
1759998211.6278203,-3.4
1759998211.6776552,-1.9
1759998211.6776552,-3.7
1759998211.6776552,-3.7
1759998211.6776552,-3.4
1759998211.72815,-1.9
1759998211.72815,-3.9
1759998211.72815,-3.9
1759998211.72815,-3.5
1759998211.72815,-4.7
1759998211.7782104,-1.9
1759998211.7782104,-3.9
1759998211.7782104,-3.9
1759998211.7782104,-3.3
1759998211.8279734,-1.9
1759998211.8279734,-3.8
1759998211.8279734,-3.8
1759998211.8279734,-3.3
1759998211.8279734,-0.5
1759998211.8778675,-1.9
1759998211.8778675,-3.9
1759998211.8778675,-3.9
1759998211.8778675,-3.3
1759998211.9275765,-1.9
1759998211.9275765,-4.0
1759998211.9275765,-4.0
1759998211.9275765,-3.5
1759998211.9779482,-1.9
1759998211.9779482,-3.9
1759998211.9779482,-3.9
1759998211.9779482,-3.3
1759998212.0273771,-1.9
1759998212.0273771,-3.7
1759998212.0273771,-3.7
1759998212.0273771,-3.4
1759998212.0775378,-1.9
1759998212.0775378,-3.8
1759998212.0775378,-3.8
1759998212.0775378,-3.5
1759998212.1275187,-1.9
1759998212.1275187,-3.7
1759998212.1275187,-3.7
1759998212.1275187,-3.5
1759998212.1275187,-0.4
1759998212.178347,-1.9
1759998212.178347,-3.8
1759998212.178347,-3.8
1759998212.178347,-3.3
1759998212.2277732,-1.9
1759998212.2277732,-3.7
1759998212.2277732,-3.7
1759998212.2277732,-3.4
1759998212.278206,-1.9
1759998212.278206,-3.8
1759998212.278206,-3.8
1759998212.278206,-3.6
1759998212.327578,-1.9
1759998212.327578,-3.9
1759998212.327578,-3.9
1759998212.327578,-3.5
1759998212.3779042,-1.9
1759998212.3779042,-4.0
1759998212.3779042,-4.0
1759998212.3779042,-3.5
1759998212.4278476,-1.8
1759998212.4278476,-3.8
1759998212.4278476,-3.8
1759998212.4278476,-3.5
1759998212.47763,-1.9
1759998212.47763,-3.9
1759998212.47763,-3.9
1759998212.47763,-3.2
1759998212.5280879,-1.9
1759998212.5280879,-3.7
1759998212.5280879,-3.7
1759998212.5280879,-3.3
1759998212.5779672,-1.9
1759998212.5779672,-3.8
1759998212.5779672,-3.8
